year,player,games_played,mpg,true_shot,per,value_added,wins_added
2024,Santi Aldama,65,25.5,0.588,16.81,0,0
2024,Khris Middleton,37,22.8,0.588,16.79,0,0
2024,Jordan Poole,68,29.4,0.591,16.71,0,0
2024,Collin Sexton,63,27.9,0.593,16.68,0,0
2024,Nick Richards,57,22,0.634,16.66,109.9,3.7
2024,Steven Adams,58,13.7,0.541,16.65,71.7,2.4
2024,Derrick White,76,33.9,0.606,16.63,0,0
2024,Jonathan Isaac,71,15.4,0.512,16.58,0,0
2024,Adem Bona,58,15.6,0.714,16.54,80.3,2.7
2024,RJ Barrett,58,32.2,0.547,16.54,0,0
2024,Moussa Diabate,71,17.5,0.609,16.52,106,3.5
2024,Nic Claxton,70,26.9,0.569,16.51,0,0
2024,Josh Hart,77,37.6,0.611,16.49,0,0
2024,Jaylin Williams,47,16.7,0.594,16.46,66.2,2.2
2024,Andrew Wiggins,60,30.7,0.566,16.42,0,0
2024,Tre Jones,46,19.7,0.617,16.34,0,0
2024,Josh Okogie,40,15.6,0.567,16.3,0,0
2024,Michael Porter Jr.,77,33.7,0.617,16.3,0,0
2024,Neemias Queta,62,13.9,0.674,16.29,73.3,2.4
2024,Gary Payton II,62,15,0.635,16.25,0,0
2024,Myles Turner,72,30.2,0.612,16.18,174.4,5.8
2024,Aaron Wiggins,76,22.9,0.596,16.16,0,0
2024,Jeff Dowtin Jr.,41,15.1,0.57,16.14,0,0
2024,Brandon Ingram,18,33.1,0.56,16.11,0,0
2024,Jock Landale,42,11.9,0.59,16.06,40.8,1.4
2024,Andre Drummond,40,18.8,0.535,16.04,61,2
2024,Zach Collins,64,15.3,0.605,16.04,0,0
2024,Christian Braun,79,33.9,0.665,16.03,208.9,7
2024,De'Andre Hunter,64,27.2,0.623,15.99,0,0
2024,Quentin Grimes,75,26.8,0.595,15.93,0,0
2024,Alex Caruso,54,19.3,0.568,15.91,0,0
2024,Jeremy Sochan,54,25.3,0.589,15.91,104,3.5
2024,Naz Reid,80,27.5,0.577,15.89,173.8,5.8
2024,Scotty Pippen Jr.,79,21.3,0.582,15.88,127.6,4.3
2024,CJ McCollum,56,32.7,0.55,15.84,0,0
2024,Jaxson Hayes,56,19.5,0.72,15.83,85.4,2.8
2024,Malcolm Brogdon,24,23.5,0.544,15.82,0,0
2024,Jonathan Kuminga,47,24.3,0.535,15.8,0,0
2024,Justin Champagnie,62,21.6,0.614,15.71,0,0
2024,Drew Eubanks,61,12.2,0.622,15.66,0,0
2024,Jared Butler,60,17.4,0.549,15.65,0,0
2024,Dyson Daniels,76,33.8,0.545,15.64,185.7,6.2
2024,Keldon Johnson,77,23.9,0.572,15.64,0,0
2024,Karlo Matkovic,42,18.8,0.639,15.63,0,0
2024,Lauri Markkanen,47,31.4,0.571,15.62,0,0
2024,Coby White,74,33.1,0.601,15.57,0,0
2024,Cam Whitmore,51,16.2,0.549,15.54,58.6,2
2024,Kevin Porter Jr.,75,19.8,0.531,15.46,0,0
2024,Dejounte Murray,31,32.6,0.494,15.45,0,0
2024,Yves Missi,73,26.8,0.572,15.42,140.8,4.7
